camera_specs,display_specs
100 mp + 20 mp + 5 mp triple rear & 16 mp front camera,"6.72 inch, IPS Screen
Average"
50 mp + 2 mp dual rear & 8 mp front camera,"6.72 inch, IPS Screen
Large"
20 mp + 16 mp dual rear & 16 mp front camera,"5.5 inch, AMOLED Screen
Small"
8 mp rear & 5 mp front camera,"5 inch, Super AMOLED Screen
Small"
48 mp quad rear & 13 mp front camera,"6.43 inch, Super AMOLED Screen
Small"
50 mp quad rear & 16 mp front camera,"6.6 inch, IPS LCD Screen
Average"
48 mp quad rear & 8 mp front camera,"6.5 inch, IPS LCD Screen
Small"
50 mp + 2 mp dual rear & 8 mp front camera,"6.7 inch, LCD Screen
Large"
50 mp + 12 mp + 12 mp triple rear & 32 mp front camera,"6.79 inch, OLED Screen
Large"
13 mp rear & 5 mp front camera,"5 inch, IPS Screen
Small"
200 mp + 50 mp dual rear & 12 mp front camera,"6.7 inch, OLED Screen
Average"
50 mp + 2 mp + 2 mp triple rear & 8 mp front camera,"6.5 inch, IPS Screen
Small"
13 mp rear & 5 mp front camera,"6.53 inch, IPS LCD Screen
Small"
50 mp + 50 mp + 50 mp triple rear & 32 mp front camera,"6.73 inch, AMOLED Screen
Average"
64 mp + 8 mp + 2 mp triple rear & 8 mp front camera,"6.8 inch, OLED Screen
Average"
50 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.8 inch, AMOLED Screen
Average"
13 mp + 2 mp dual rear & 8 mp front camera,"6.22 inch, LCD Screen
Small"
20 mp rear & 5 mp front camera,"5.93 inch, IPS Screen
Small"
50 mp + 50 mp dual rear & 50 mp front camera,"6.78 inch, AMOLED Screen
Large"
200 mp + 24 mp + 16 mp triple rear & 32 mp front camera,"6.58 inch, IPS Screen
Small"
13 mp + 2 mp + 2 mp triple rear & 5 mp front camera,"6.53 inch, IPS LCD Screen
Average"
50 mp + 2 mp dual rear & 8 mp front camera,"6.5 inch, IPS LCD Screen
Small"
64 mp + 8 mp + 5 mp triple rear & 32 mp front camera,"6.5 inch, AMOLED Screen
Small"
50 mp + 0.08 mp dual rear & 8 mp front camera,"6.68 inch, LCD Screen
Large"
12.2 mp rear & 8 mp + 8 mp dual front camera,"6.3 inch, P-OLED Screen
Small"
50 mp + 2 mp + 2 mp triple rear & 16 mp front camera,"6.6 inch, IPS LCD Screen
Average"
48 mp quad rear & 32 mp front camera,"6.43 inch, AMOLED Screen
Small"
13 mp + 2 mp + 2 mp triple rear & 8 mp front camera,"6.51 inch, IPS LCD Screen
Small"
50 mp + 13 mp + 2 mp triple rear & 32 mp front camera,"6.67 inch, AMOLED Screen
Average"
50 mp + 2 mp + macro triple rear & 5 mp front camera,"6.5 inch, LCD Screen
Small"
20 mp rear & 13 mp front camera,"6.82 inch, IPS Screen
Large"
50 mp + 12 mp + 10 mp triple rear & 12 mp front camera,"6.6 inch, AMOLED Screen
Small"
8 mp + 0.08 mp dual rear & 5 mp front camera,"6.52 inch, IPS Screen
Small"
8 mp rear & 5 mp front camera,"5 inch Screen
Small"
13 mp rear & 5 mp front camera,"5 inch, Super AMOLED Screen
Small"
32 mp dual rear & 5 mp front camera,"6.74 inch, IPS Screen
Large"
50 mp + 50 mp dual rear & 32 mp front camera,"6.7 inch, Flexible LTPO AMOLED Screen
Average"
8 mp rear & 2 mp front camera,"5 inch, IPS Screen
Average"
13 mp + 2 mp dual rear & 16 mp front camera,"6.21 inch Screen
Small"
64 mp quad rear & 44 mp + 2 mp dual front camera,"6.4 inch, Super AMOLED Screen
Small"
13 mp rear & 5 mp front camera,"5.5 inch, IPS Screen
Small"
12 mp + 2 mp dual rear & 8 mp front camera,"6.22 inch, IPS LCD Screen
Small"
50 mp + 50 mp + 12 mp triple rear & 20 mp front camera,"6.67 inch, AMOLED Screen
Small"
48 mp quad rear & 16 mp front camera,"6.59 inch, IPS LCD Screen
Small"
8 mp rear & 5 mp front camera,"6.26 inch Screen
Average"
200 mp + 12 mp + 2 mp triple rear & 50 mp front camera,"6.7 inch, AMOLED Screen
Average"
48 mp + 5 mp + 2 mp triple rear & 8 mp front camera,"6.82 inch, IPS LCD Screen
Large"
13 mp + 8 mp + 2 mp triple rear & 8 mp front camera,"6.35 inch, IPS LCD Screen
Small"
48 mp quad rear & 8 mp front camera,"6.52 inch, PLS IPS Screen
Small"
64 mp quad rear & 16 mp + 8 mp dual front camera,"6.6 inch, IPS LCD Screen
Small"
13 mp rear & 8 mp front camera,"6.26 inch Screen
Small"
50 mp quad rear & 50 mp front camera,"6.74 inch, AMOLED Screen
Average"
108 mp quad rear & 32 mp front camera,"6.78 inch, Super AMOLED Plus Screen
Large"
50 mp quad rear & 8 mp front camera,"6.5 inch, LCD Screen
Small"
64 mp + 8 mp + 2 mp triple rear & 32 mp front camera,"6.56 inch, AMOLED Screen
Small"
50 mp dual rear & 5 mp front camera,"6.88 inch, LCD Screen
Largest"
48 mp + 2 mp dual rear & 5 mp front camera,"6.5 inch, PLS TFT LCD Screen
Small"
50 mp + 8 mp dual rear & 16 mp front camera,"6.78 inch, LTPO AMOLED Screen
Large"
50 mp + 8 mp + 2 mp triple rear & 13 mp front camera,"6.5 inch, Super AMOLED Screen
Small"
50 mp + 2 mp dual rear & 16 mp front camera,"6.58 inch, IPS Screen
Average"
5 mp rear & 0.3 mp front camera,"5 inch, IPS Screen
Small"
13 mp + 2 mp dual rear & 8 mp front camera,"6.26 inch, IPS LCD Screen
Small"
12 mp + 5 mp + 2 mp triple rear & 16 mp + 2 mp dual front camera,"6.2 inch, IPS LCD Screen
Small"
13 mp + 2 mp dual rear & 8 mp front camera,"6.56 inch, IPS LCD Screen
Small"
64 mp quad rear & 32 mp front camera,"6.5 inch, Super AMOLED Screen
Small"
50 mp + 2 mp dual rear & 8 mp front camera,"6.56 inch, LCD Screen
Small"
50 mp + 2 mp dual rear & 8 mp front camera,"6.56 inch, LCD Screen
Average"
16 mp + 2 mp + 2 mp triple rear & 13 mp front camera,"6.2 inch, IPS LCD Screen
Small"
50 mp + 2 mp dual rear & 16 mp front camera,"6.7 inch, LCD Screen
Average"
200 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.67 inch, AMOLED Screen
Average"
108 mp + 50 mp + 2 mp triple rear & 32 mp front camera,"6.67 inch, AMOLED Screen
Average"
100 mp + 20 mp + 2 mp triple rear & 32 mp front camera,"6.72 inch, IPS Screen
Average"
50 mp + 50 mp dual rear & 50 mp front camera,"6.82 inch, AMOLED Screen
Large"
64 mp quad rear & 32 mp front camera,"6.4 inch, Super AMOLED Screen
Small"
5 mp dual rear & 5 mp front camera,"6.6 inch, IPS LCD Screen
Average"
50 mp + 8 mp + 2 mp triple rear & 20 mp front camera,"6.67 inch, AMOLED Screen
Average"
13 mp + 5 mp + 2 mp triple rear & 8 mp front camera,"6.82 inch, IPS LCD Screen
Large"
48 mp + 2 mp + 2 mp triple rear & 8 mp front camera,"6.5 inch, IPS LCD Screen
Small"
50 mp + 48 mp + 32 mp triple rear & 32 mp + 32 mp dual front camera,"7.2 inch, LTPO AMOLED Screen
Large"
32 mp rear & 8 mp front camera,"6.67 inch, IPS Screen
Average"
13 mp + 2 mp dual rear & 8 mp front camera,"6.2 inch, IPS LCD Screen
Small"
50 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.55 inch, IPS LCD Screen
Small"
